[W703 08:10:27.981015169 OperatorEntry.cpp:208] Warning: Warning only once for all operators,  other operators may also be overridden.
  Overriding a previously registered kernel for the same operator and the same dispatch key
  operator: aten::nonzero(Tensor self) -> Tensor
    registered at /pytorch/build/aten/src/ATen/RegisterSchema.cpp:6
  dispatch key: CUDA
  previous kernel: registered at /pytorch/build/aten/src/ATen/RegisterCPU_1.cpp:8426
       new kernel: registered at /root/workspace/FlagGems/src/flag_gems/csrc/aten_patch.cpp:42 (function operator())
============================= test session starts ==============================
platform linux -- Python 3.11.15, pytest-8.1.1, pluggy-1.6.0 -- /root/miniconda3/envs/tree/bin/python3.11
cachedir: .pytest_cache
rootdir: /root/workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.14.1
collecting ... collected 1 item

benchmark/test_flash_attn_varlen_fa3_func.py::test_flash_attn_varlen_pr707_benchmark 
Operator: flash_attn_varlen_pr707  Performance Test (dtype=torch.float16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
SUCCESS               0.176128            0.483104               0.365          ('varlen_serve_b32_1pf_31dec_d128_gqa4', 'non_paged', ([torch.Size([2079, 32, 128]), torch.Size([63552, 8, 128]), torch.Size([63552, 8, 128]), 2048, torch.Size([33]), 2944, torch.Size([33]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([2079, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))


Operator: flash_attn_varlen_pr707  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               0.532848            0.731136               0.729          ('paged_decodeish_long_k_tq265_q16_k2333_h16_hk8_d128', 'paged', ([torch.Size([265, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 16, torch.Size([201]), 2333, None, torch.Size([200]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([200, 146]), False, torch.Size([265, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.020544            0.023520               0.873          ('paged_medium_or_prefill_tq512_q512_k512_h16_hk8_d128', 'paged', ([torch.Size([512, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 512, torch.Size([2]), 512, None, torch.Size([1]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([1, 32]), False, torch.Size([512, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.067392            0.075136               0.897          ('paged_mixed_short_tq265_q61_k515_h16_hk8_d128', 'paged', ([torch.Size([265, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 61, torch.Size([56]), 515, None, torch.Size([55]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([55, 33]), False, torch.Size([265, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.015168            0.012384               1.225          ('paged_short_tq72_q70_k70_h16_hk8_d128', 'paged', ([torch.Size([72, 16, 128]), torch.Size([2000, 16, 8, 128]), torch.Size([2000, 16, 8, 128]), 70, torch.Size([4]), 70, None, torch.Size([3]), None, 0.0, 0.08838834764831845, True, [-1, -1], 0.0, None, False, False, torch.Size([3, 5]), False, torch.Size([72, 16, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.043168            0.065344               0.661          ('decode_b16_kv1k_d128_gqa4', 'non_paged', ([torch.Size([16, 32, 128]), torch.Size([16384, 8, 128]), torch.Size([16384, 8, 128]), 1, torch.Size([17]), 1024, torch.Size([17]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.069504            0.123200               0.564          ('decode_b16_mixed_d128_gqa4', 'non_paged', ([torch.Size([16, 32, 128]), torch.Size([30720, 8, 128]), torch.Size([30720, 8, 128]), 1, torch.Size([17]), 4096, torch.Size([17]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.111376            0.171360               0.650          ('decode_b32_kv2k_d128_gqa4', 'non_paged', ([torch.Size([32, 32, 128]), torch.Size([65536, 8, 128]), torch.Size([65536, 8, 128]), 1, torch.Size([33]), 2048, torch.Size([33]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.037088            0.055808               0.665          ('decode_b8_kv1k_d192_gqa4', 'non_paged', ([torch.Size([8, 32, 192]), torch.Size([8192, 8, 192]), torch.Size([8192, 8, 192]), 1, torch.Size([9]), 1024, torch.Size([9]), None, None, 0.0, 0.07216878364870323, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8, 32, 192]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.043872            0.051648               0.849          ('decode_b8_kv1k_d256_gqa4', 'non_paged', ([torch.Size([8, 32, 256]), torch.Size([8192, 8, 256]), torch.Size([8192, 8, 256]), 1, torch.Size([9]), 1024, torch.Size([9]), None, None, 0.0, 0.0625, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8, 32, 256]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.089504            0.224352               0.399          ('paged_decode_b16_kvmix_bs16_d128_gqa4', 'paged', ([torch.Size([16, 32, 128]), torch.Size([4416, 16, 8, 128]), torch.Size([4416, 16, 8, 128]), 1, torch.Size([17]), 4864, None, torch.Size([16]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([16, 304]), False, torch.Size([16, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.411872            1.396992               0.295          ('paged_decode_b64_bs16_d128_gqa4', 'paged', ([torch.Size([64, 32, 128]), torch.Size([27264, 16, 8, 128]), torch.Size([27264, 16, 8, 128]), 1, torch.Size([65]), 8576, None, torch.Size([64]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([64, 536]), False, torch.Size([64, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.053376            0.111392               0.479          ('paged_decode_b8_bs16_d192_gqa4', 'paged', ([torch.Size([8, 32, 192]), torch.Size([1104, 16, 8, 192]), torch.Size([1104, 16, 8, 192]), 1, torch.Size([9]), 1920, None, torch.Size([8]), None, 0.0, 0.07216878364870323, True, [-1, -1], 0.0, None, False, False, torch.Size([8, 120]), False, torch.Size([8, 32, 192]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.062176            0.142432               0.437          ('paged_decode_b8_bs16_d256_gqa4', 'paged', ([torch.Size([8, 32, 256]), torch.Size([1104, 16, 8, 256]), torch.Size([1104, 16, 8, 256]), 1, torch.Size([9]), 1920, None, torch.Size([8]), None, 0.0, 0.0625, True, [-1, -1], 0.0, None, False, False, torch.Size([8, 120]), False, torch.Size([8, 32, 256]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.199040            0.845760               0.235          ('paged_serve_b32_1pf_31dec_bs16_d128_gqa4', 'paged', ([torch.Size([2079, 32, 128]), torch.Size([7353, 16, 8, 128]), torch.Size([7353, 16, 8, 128]), 2048, torch.Size([33]), 3904, None, torch.Size([32]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([32, 244]), False, torch.Size([2079, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.130912            2.022336               0.559          ('paged_uniform_b4_s4k_bs16_d128_mha', 'paged', ([torch.Size([16384, 32, 128]), torch.Size([1536, 16, 32, 128]), torch.Size([1536, 16, 32, 128]), 4096, torch.Size([5]), 4096, None, torch.Size([4]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([4, 256]), False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               6.953568           11.005856               0.632          ('prefill_b2_s16k_d128_mha', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), 16384, torch.Size([3]), 16384, torch.Size([3]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.333872            0.473280               0.705          ('prefill_b4_s2k_d128_mha', 'non_paged', ([torch.Size([8192, 32, 128]), torch.Size([8192, 32, 128]), torch.Size([8192, 32, 128]), 2048, torch.Size([5]), 2048, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8192, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.969568            1.503840               0.645          ('prefill_b4_s4k_d128_gqa4', 'non_paged', ([torch.Size([16384, 32, 128]), torch.Size([16384, 8, 128]), torch.Size([16384, 8, 128]), 4096, torch.Size([5]), 4096, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.034288            1.561760               0.662          ('prefill_b4_s4k_d128_mha', 'non_paged', ([torch.Size([16384, 32, 128]), torch.Size([16384, 32, 128]), torch.Size([16384, 32, 128]), 4096, torch.Size([5]), 4096, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               3.514656            5.537952               0.635          ('prefill_b4_s8k_d128_gqa4', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 8, 128]), torch.Size([32768, 8, 128]), 8192, torch.Size([5]), 8192, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               3.627296            5.562000               0.652          ('prefill_b4_s8k_d128_mha', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), 8192, torch.Size([5]), 8192, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.373952            0.483424               0.774          ('prefill_b8_s2k_d64_mha', 'non_paged', ([torch.Size([16384, 16, 64]), torch.Size([16384, 16, 64]), torch.Size([16384, 16, 64]), 2048, torch.Size([9]), 2048, torch.Size([9]), None, None, 0.0, 0.125, False, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 16, 64]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               3.429776            5.543440               0.619          ('varlen_longtail_d128_gqa4', 'non_paged', ([torch.Size([20480, 32, 128]), torch.Size([20480, 8, 128]), torch.Size([20480, 8, 128]), 16384, torch.Size([18]), 16384, torch.Size([18]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([20480, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.184576            0.398672               0.463          ('varlen_mixed_d128_gqa4', 'non_paged', ([torch.Size([3076, 32, 128]), torch.Size([20480, 8, 128]), torch.Size([20480, 8, 128]), 2048, torch.Size([7]), 8192, torch.Size([7]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([3076, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.171424            0.462752               0.370          ('varlen_serve_b32_1pf_31dec_d128_gqa4', 'non_paged', ([torch.Size([2079, 32, 128]), torch.Size([63552, 8, 128]), torch.Size([63552, 8, 128]), 2048, torch.Size([33]), 2944, torch.Size([33]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([2079, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))

PASSED

======================== 1 passed in 122.53s (0:02:02) =========================
